Sample,Molecular Weight,Fluorescence
S2 + Triton,49.899999999999999,84.19494426964485
S2 + Triton,50.200000000000003,77.721967145391673
S2 + Triton,50.399999999999999,71.092330448939435
S2 + Triton,50.700000000000003,67.231240697533977
S2 + Triton,51,67.489278850927064
S2 + Triton,51.299999999999997,71.312395876473971
S2 + Triton,51.600000000000001,76.623426483036852
S2 + Triton,51.899999999999999,80.918242350582801
S2 + Triton,52.200000000000003,83.511620600048246
S2 + Triton,52.5,89.586960147317825
S2 + Triton,52.799999999999997,106.71496668298167
S2 + Triton,53,137.89981510336253
S2 + Triton,53.299999999999997,179.34680705668251
S2 + Triton,53.600000000000001,223.03725127606771
S2 + Triton,53.899999999999999,260.68010358276888
S2 + Triton,54.200000000000003,286.94602310454263
S2 + Triton,54.5,300.46010820819458
S2 + Triton,54.799999999999997,301.0546223430859
S2 + Triton,55.100000000000001,291.54286682271731
S2 + Triton,55.399999999999999,277.51460114442051
S2 + Triton,55.700000000000003,263.25276281330508
S2 + Triton,56,250.8253661601025
S2 + Triton,56.299999999999997,239.89723652289845
S2 + Triton,56.600000000000001,228.66617410195303
S2 + Triton,56.899999999999999,215.5571303052447
S2 + Triton,57.200000000000003,201.15889879400544
S2 + Triton,57.5,190.21752326559354
S2 + Triton,57.799999999999997,189.41492768475564
S2 + Triton,58.200000000000003,202.21018453343376
S2 + Triton,58.5,232.50230078842844
S2 + Triton,58.799999999999997,294.27818914706086
S2 + Triton,59.100000000000001,409.55376277059918
S2 + Triton,59.399999999999999,591.12478931051191
S2 + Triton,59.700000000000003,821.55213905197934
S2 + Triton,60,1048.4874487092038
S2 + Triton,60.299999999999997,1211.7011349270028
S2 + Triton,60.600000000000001,1318.9901525218313
S2 + Triton,61,1391.7822359508698
S2 + Triton,61.299999999999997,1429.7079558885061
S2 + Triton,61.600000000000001,1421.2048947809428
S2 + Triton,61.899999999999999,1360.742657344633
S2 + Triton,62.200000000000003,1256.8462148268104
S2 + Triton,62.5,1126.7477931062219
S2 + Triton,62.899999999999999,985.89166775887088
S2 + Triton,63.200000000000003,846.69212925728345
S2 + Triton,63.5,720.68514792917165
S2 + Triton,63.799999999999997,614.12368214934509
S2 + Triton,64.200000000000003,528.49296902621347
S2 + Triton,64.5,461.09729330678664
S2 + Triton,64.799999999999997,406.89899115265285
S2 + Triton,65.099999999999994,360.84310796193654
S2 + Triton,65.5,319.73063532903922
S2 + Triton,65.799999999999997,282.26090228182238
S2 + Triton,66.099999999999994,248.01881426367311
S2 + Triton,66.400000000000006,217.28817283671904
S2 + Triton,66.799999999999997,190.84847472933495
S2 + Triton,67.099999999999994,169.785475110448
S2 + Triton,67.400000000000006,154.70077859519733
S2 + Triton,67.799999999999997,145.47947406299977
S2 + Triton,68.099999999999994,141.41824744994486
S2 + Triton,68.400000000000006,141.34607750228685
S2 + Triton,68.799999999999997,143.47654863053697
S2 + Triton,69.099999999999994,145.25359607030686
S2 + Triton,69.400000000000006,144.54639029317528
S2 + Triton,69.799999999999997,139.83571987063607
S2 + Triton,70.099999999999994,130.88918987082462
S2 + Triton,70.5,118.36334224627764
S2 + Triton,70.799999999999997,103.53229542501242
S2 + Triton,71.099999999999994,88.178720082229603
S2 + Triton,71.5,74.331043347990374
S2 + Triton,71.799999999999997,64.164894098609153
S2 + Triton,72.200000000000003,57.826223122650156
S2 + Triton,72.5,54.186885674739059
S2 + Triton,72.799999999999997,51.859780714996489
S2 + Triton,73.200000000000003,49.841525991955535
S2 + Triton,73.5,47.705880038282785
S2 + Triton,73.900000000000006,45.565266388052201
S2 + Triton,74.200000000000003,43.922205787260324
S2 + Triton,74.599999999999994,43.438015805853247
S2 + Triton,74.900000000000006,44.552275514907777
S2 + Triton,75.299999999999997,47.189747865701108
S2 + Triton,75.599999999999994,51.367926472509758
S2 + Triton,76,56.791923129744617
S2 + Triton,76.299999999999997,62.377722813211946
S2 + Triton,76.700000000000003,66.395124334924319
S2 + Triton,77.099999999999994,67.051898328081322
S2 + Triton,77.400000000000006,63.340694238873745
S2 + Triton,77.799999999999997,56.336079246853174
S2 + Triton,78.099999999999994,48.943886047588855
S2 + Triton,78.5,42.673692935305525
S2 + Triton,78.799999999999997,37.972268121050362
S2 + Triton,79.200000000000003,34.595188335255266
S2 + Triton,79.599999999999994,32.0037284627386
S2 + Triton,79.900000000000006,29.679128432163317
S2 + Triton,80.299999999999997,27.246343581980657
S2 + Triton,80.700000000000003,24.601283925369259
S2 + Triton,81,21.925182307631221
S2 + Triton,81.400000000000006,19.3936805499436
S2 + Triton,81.700000000000003,17.158646470222703
S2 + Triton,82.099999999999994,15.268606383005498
S2 + Triton,82.5,13.681366919762457
S2 + Triton,82.799999999999997,12.34161332492792
S2 + Triton,83.200000000000003,11.296271382949858
S2 + Triton,83.599999999999994,10.553858848670522
S2 + Triton,84,9.9653811971667317
S2 + Triton,84.299999999999997,9.2980359633222562
S2 + Triton,84.700000000000003,8.4414328076971277
S2 + Triton,85.099999999999994,7.3514014170189101
S2 + Triton,85.5,6.066486238769297
S2 + Triton,85.799999999999997,4.7001242323483403
S2 + Triton,86.200000000000003,3.3115018193064012
S2 + Triton,86.599999999999994,2.1525632965091868
S2 + Triton,87,1.3493578622425375
S2 + Triton,87.299999999999997,0.75646598469220594
S2 + Triton,87.700000000000003,0.27724101424839503
S2 + Triton,88.099999999999994,-0.067580809252695426
S2 + Triton,88.5,-0.23706976359991219
S2 + Triton,88.900000000000006,-0.28704730240479515
S2 + Triton,89.200000000000003,-0.36074180124381694
S2 + Triton,89.599999999999994,-0.48894449602040246
S2 + Triton,90,-0.54991903813087006
S2 + Triton,90.400000000000006,-0.4342366299865934
S2 + Triton,90.799999999999997,-0.063861151240688918
S2 + Triton,91.200000000000003,0.56030985248825604
