ix,mw,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66
199,48.7,31.97148269,5.470882074,0.388259153,37.90476192,29.89549557,76.92435686,26.89196273,13.49366991,6.666583301,8.713768196,38.66676635,41.83878655,22.48115364,9.802368907,14.44579375,16.61723262,41.20268845,2.869072842,18.09869543,21.14756992,40.97428209,30.3436443,28.10113519,12.41333913,75.88690208,59.853792,23.17778418,17.83513993,37.97835421,19.42311566,37.2242141,31.23633802,34.42950907,33.86100014,9.729199353,13.07213651,28.24955167,20.00713054,18.79726542,20.17241791,12.95212946,48.79401147,38.74154315,17.18340983,23.35011027,39.00254381,38.31143131,39.72553216,27.03648815,20.62105242,30.69342715,19.79603711,31.25743572,-1.722830724,4.754035275,37.67987513,30.20243831,3.835419087,22.05322232,6.820489703,37.52056041,118.7272573,33.40022712,10.19385386,18.13245131,13.21570635
200,49,26.74906713,4.419565834,-0.624441055,32.22111882,30.03203645,68.8673682,26.50262297,9.778666159,5.135514151,7.183931386,34.65994688,35.49559289,18.67128423,9.390332123,12.82409052,14.39364997,37.08756837,2.963864413,14.72513233,17.58242921,37.85900176,28.29714136,25.89262091,10.20880559,69.78493079,55.70942829,20.79253831,13.90857522,34.66937838,16.82644629,31.30516755,25.59412832,27.70356725,29.4344336,5.408162757,9.814061912,22.10107675,15.78513097,15.02165977,15.77233582,8.424174648,42.3049761,31.91198178,11.67869692,17.58295059,33.58190448,32.27375048,33.37684876,24.91208518,15.76324093,24.56788307,16.54341943,27.92646247,-2.466507001,3.660512634,32.27997874,25.35998558,-0.911372446,18.21551913,4.875771206,31.48863776,99.10146914,29.41910516,6.52919879,15.99409584,11.77590236
201,49.3,21.88002415,3.571145833,-1.797732942,28.38893783,29.4656778,62.37983857,26.48766486,6.558682663,4.015737337,5.411182904,30.92226407,26.92342752,15.03385973,8.44929647,11.28540989,13.02264812,33.26906521,2.313676245,12.35154912,14.52917094,35.32417593,27.23927358,22.77873661,8.786238696,64.52992491,52.2119149,18.43536864,11.13243742,30.76402443,15.03690206,25.44109529,19.97880735,21.15817738,22.71773666,2.729975859,7.192396374,17.37941405,12.69621897,11.7287277,12.02868107,4.922902501,36.37008094,26.30682145,7.447946412,12.69708941,29.25361221,27.25518558,27.80992179,21.60873592,11.5676351,17.70016178,13.83041136,24.72358376,-3.181945298,2.826728094,27.58662728,21.11337294,-3.86061701,14.88718265,3.496545439,26.38841588,82.76519023,24.13687325,3.765191163,13.38784227,10.04532116
202,49.6,17.87315358,2.712776177,-2.813758087,25.08366891,27.29474358,57.11330715,26.560944,3.943464914,3.419046467,3.859268072,27.72878889,18.86718214,11.70962093,7.368441402,10.08485585,11.39142077,29.47959833,0.996079663,10.74315222,12.11582848,32.97453049,26.65842257,18.5685668,7.358976713,59.70245239,49.17036268,16.00073756,9.274205625,26.66410527,13.94178584,20.11813884,15.47770296,15.7219091,15.23230972,1.243369912,5.390073905,13.78190683,10.4569838,9.298153894,8.234348799,2.585110976,30.01619169,21.60073438,4.87419962,9.407038291,26.06785121,23.0950747,22.46834447,16.9376951,8.350846659,12.09974245,11.64926455,21.80367226,-3.846488741,2.138962201,23.34588182,17.32360232,-5.540926483,12.26522017,2.477816149,21.96131456,69.22707966,17.75909465,2.19917288,10.48019909,7.908791516
203,49.9,14.85508216,1.659079741,-3.464559067,20.43440031,23.76900181,52.68538799,26.32774779,1.986246166,3.168319713,2.710480114,25.02554932,13.44656379,9.236733159,6.38802564,9.258409724,10.04475896,25.7424378,-0.548003218,9.446804859,10.27416448,30.59721881,25.85704999,14.29921277,5.28590217,54.9896016,46.31683559,13.61578105,7.857052074,23.03174527,13.34901254,15.85459299,12.61935464,11.88695605,9.004621236,0.470156948,4.200969058,11.09436751,8.705532577,7.61758598,4.17708175,1.106747811,23.25674251,17.59715033,3.343905458,7.185755439,23.74728188,19.75215857,16.87378652,11.99162037,6.336022737,8.509008068,9.921390448,19.31747245,-4.547860172,1.439616695,19.22634653,14.03936621,-6.694814015,10.15797392,1.711131385,18.22475184,56.63834403,11.65438615,1.3000143,7.699250568,5.787442173
204,50.2,12.66926638,0.415972551,-3.725348575,13.83225599,20.01623798,48.75906996,25.50046874,0.554971533,3.039187891,1.912342529,22.57347346,10.60055153,7.958742741,5.657947814,8.692691072,8.430961104,22.29857426,-1.824882997,8.299894229,8.86082371,28.27360762,24.45770527,10.96323718,2.714339774,50.36346145,43.17492477,11.55835086,6.581902196,20.20822255,13.07692909,12.80844786,11.09633802,9.828994106,5.135530403,0.108950559,3.419529773,9.34569276,7.253452364,6.435590772,0.401538796,0.051239166,17.11552553,14.12674921,2.438668665,5.186882416,21.84640519,17.00517307,11.54785523,7.99605367,5.501608776,6.705105858,8.400350625,17.44221465,-5.112726296,0.660541662,14.52562591,11.33509048,-7.488575515,8.263354329,1.06490147,15.19915602,46.21351584,7.020330807,0.68542846,5.539349578,4.161001541
205,50.4,10.92716858,-0.787748611,-3.754764245,6.526605388,17.14402823,45.43993496,24.08210111,-0.543945579,3.007675964,1.320272027,20.23250904,9.281053834,7.145483313,5.120132158,8.224502452,6.671837593,19.2783528,-2.725442363,7.353433558,7.724290272,26.17034664,22.60075854,9.084714429,0.397622536,45.96190597,39.44211146,9.97675741,5.420053523,18.13749194,12.93734138,10.73618128,10.41803332,8.571072247,3.211842847,0.11274013,2.773170853,8.094188463,6.117674769,5.702845277,-2.487193238,-0.768521926,12.4668896,11.45978951,2.118570052,3.360716734,20.22056866,14.813747,7.204418087,5.415472134,4.873243619,5.805139894,6.974976115,16.02395986,-5.529678389,-0.137594752,10.35284248,9.190342426,-8.04281499,6.397203088,0.56595592,12.72897021,37.69581678,4.141894732,0.049412939,4.383366814,3.121094653
206,50.7,9.468774728,-1.725164698,-3.626609276,0.3054723,15.4572276,42.74598469,22.49424267,-1.461980332,2.858857189,0.797126487,17.93042876,8.689372445,5.808327152,4.761798295,7.906940302,5.019955946,17.00020285,-3.284191167,6.775120682,6.822022371,24.40817661,20.95844077,8.241759023,-1.135387498,42.31217844,35.59842171,8.797649978,4.550010131,16.58080405,12.76667639,9.27305957,10.11008285,7.546012046,2.275002151,0.482502631,2.414073016,6.691907847,5.205627176,5.156775163,-4.27567319,-1.380779251,9.30762743,9.559826014,2.060645094,2.121622337,18.87515561,12.84934487,4.144372256,3.791751693,4.288430048,5.326371281,5.633921981,14.92260926,-5.823736453,-0.711384642,8.205700189,7.354264969,-8.423007403,4.778961713,0.2247686,10.6933401,30.89124117,2.287608297,0.031931024,3.945539793,2.353857803
207,51,8.518541905,-2.323506224,-3.369896879,-3.975576433,14.64906834,40.73655766,21.00658207,-2.190440736,2.596033014,0.290935143,15.74424753,8.527718101,3.849104013,4.61804238,7.803834727,3.74518826,15.22929972,-3.606965856,6.447317011,6.107788114,22.97121397,19.77552383,7.977383319,-1.990895502,39.39668129,32.15181122,7.975134402,3.837142797,15.2901052,12.78078893,8.164454108,9.941893424,6.171315449,1.775255663,1.030101003,2.269535786,4.877608362,4.370980102,4.663683649,-5.19926059,-1.735964796,7.113000682,8.20667243,1.935171009,1.160796027,17.7958852,10.98001404,2.199394128,2.717100199,3.889466223,5.136500232,4.578873343,14.13085685,-6.026071027,-1.116811292,7.247113398,5.804982147,-8.75530651,3.49643312,-0.154932325,8.860887532,25.40231316,0.886854025,0.478376073,3.843990027,1.701476232
208,51.3,7.881830302,-2.662762931,-3.167903418,-6.427561835,14.28338414,39.18746634,19.75389497,-2.821373277,2.32239328,-0.054742084,13.73261583,8.647221749,2.0777305,4.725651366,7.820519957,2.810197742,13.85475723,-3.795510291,6.183846061,5.504012122,21.75395449,19.0030931,8.197940918,-2.472141082,37.1695421,29.40843791,7.485104835,3.268323908,14.2002012,12.9775392,7.257284486,9.841342791,4.84880254,1.574715872,1.651728126,2.148595023,3.042742954,3.607397535,4.125924234,-5.616444813,-1.941042418,5.524001066,7.26783711,1.616208481,0.188412777,16.9348296,9.28280522,1.048399789,2.033326823,3.519208287,5.12283165,3.697394799,13.5980131,-5.807394328,-1.41739906,6.120029878,4.546124828,-9.088198534,2.64702167,-0.589011018,7.19571985,20.85111487,-0.250444443,0.716355122,3.650138788,1.264736224
209,51.6,7.255414071,-2.872382431,-2.948801397,-7.648538898,14.07744351,38.02995648,18.76309558,-3.522003507,2.097311953,-0.184813036,11.97770809,8.790867285,0.959244384,4.901497557,7.842443206,2.067565276,12.74157866,-3.852331233,6.172286575,4.945774116,20.80416447,18.54265654,8.104178244,-2.657620348,35.3440883,27.48376686,7.173394537,2.872939509,13.28015266,13.1878866,6.423289305,9.742621901,3.909457258,1.606182195,2.238015949,2.018741922,1.643966781,2.925331011,3.506240903,-5.809606652,-2.190438944,4.506675566,6.548080806,1.130560017,-0.561515853,16.17564888,7.846903306,0.24732652,1.67268471,3.129198773,5.059505652,2.853635999,13.21639112,-5.077215921,-1.716819965,4.295718823,3.550966921,-9.320383552,2.014658481,-0.961169639,5.675633816,16.92951117,-0.926935191,0.378556826,3.154207028,0.994353575
