group,variable,value
Gisngivitis,11,18.04625349
Mucositis,11,-13.10853052
Mucositis,11,-12.30339615
Mucositis,11,-23.00718469
Mucositis,11,-4.109515085
Mucositis,11,-3.581083667
Mucositis,11,-11.91003868
Mucositis,11,14.73815419
Mucositis,11,7.870244137
Mucositis,11,5.207401141
Mucositis,11,-6.356030221
Mucositis,11,-2.915144507
Mucositis,11,-6.060386942
Mucositis,11,0.872390122
Mucositis,11,19.58905106
Mucositis,11,-3.959019146
Periimplantitis,11,-17.25384621
Periimplantitis,11,-10.82524298
Periimplantitis,11,-3.322610444
Periimplantitis,11,19.01311668
Periimplantitis,11,-14.90297256
Periimplantitis,11,-1.024831831
Periimplantitis,11,-6.452855499
Periimplantitis,11,13.51737337
Periimplantitis,11,-6.273914229
Periimplantitis,11,7.825596359
Periimplantitis,11,1.653537079
Periimplantitis,11,-10.66315754
Periimplantitis,11,-22.2525075
Periimplantitis,11,13.31895351
Healthy,11,9.193276166
Healthy,11,22.36905742
Healthy,11,14.39923266
Healthy,11,-3.940329027
Healthy,11,-3.781682365
Healthy,11,-5.475120498
Healthy,11,-16.88281557
Healthy,11,-2.403161275
Healthy,11,-11.48043201
Healthy,11,-11.9793671
Gisngivitis,11,-4.935527578
Gisngivitis,11,-4.857834411
Gisngivitis,11,-10.09704485
Gisngivitis,11,-0.873707047
Gisngivitis,11,-3.173667181
Gisngivitis,11,9.982566972
Gisngivitis,11,-30.4240268
Gisngivitis,11,-6.017329283
Gisngivitis,11,-7.715241729
Gisngivitis,11,15.5535097
Mucositis,11,-15.72513436
Mucositis,11,-10.02343442
Mucositis,11,-21.58920536
Mucositis,11,-3.734835841
Mucositis,11,-6.499720183
Mucositis,11,-11.25007407
Mucositis,11,8.335938768
Mucositis,11,1.359608588
Mucositis,11,3.516357476
Mucositis,11,-5.008900904
Mucositis,11,-3.121039838
Mucositis,11,-6.165805387
Mucositis,11,-1.505450568
Mucositis,11,5.251913899
Mucositis,11,-4.180738644
Periimplantitis,11,-16.6431965
Periimplantitis,11,-10.72854005
Periimplantitis,11,-2.987201533
Periimplantitis,11,13.51089256
Periimplantitis,11,-15.38555543
Periimplantitis,11,-3.516475917
Periimplantitis,11,-6.71257685
Periimplantitis,11,2.099352147
Periimplantitis,11,-6.444498067
Periimplantitis,11,4.54510305
Periimplantitis,11,1.995781562
Periimplantitis,11,-15.03900006
Periimplantitis,11,-22.20231503
Periimplantitis,11,4.735808002
Healthy,11,4.154450211
Healthy,11,12.89897425
Healthy,11,1.936020018
Healthy,11,-6.244467196
Healthy,11,-6.197098197
Healthy,11,-14.19255901
Healthy,11,-17.90574436
Healthy,11,-3.169861884
Healthy,11,-15.84611601
Healthy,11,-9.844347303
Gisngivitis,11,-7.931413741
Gisngivitis,11,-5.551566672
Gisngivitis,11,-10.69096276
Gisngivitis,11,-1.336055528
Gisngivitis,11,-4.425793816
Gisngivitis,11,-1.418053103
Gisngivitis,11,-31.12118499
Gisngivitis,11,-6.726025663
Gisngivitis,11,-9.182115842
Gisngivitis,11,14.6486672
Mucositis,11,-16.74163403
Mucositis,11,-9.227524218
Mucositis,11,-20.08915953
Mucositis,11,-3.526549346
Mucositis,11,-8.29819416
Mucositis,11,-10.21453241
Mucositis,11,4.043884013
Mucositis,11,-3.648212842
Mucositis,11,1.94761763
Mucositis,11,-4.960311337
Mucositis,11,-3.391307967
Mucositis,11,-6.221778467
