x,group,y
10.8,Periimplantitis,-4.713936523
10.8,Periimplantitis,-21.99951701
10.8,Periimplantitis,22.75117937
11,Healthy,14.04605897
11,Healthy,32.69198323
11,Healthy,31.75586918
11,Healthy,-0.966946168
11,Healthy,-0.677894514
11,Healthy,4.310741505
11,Healthy,-14.77233031
11,Healthy,-1.240196305
11,Healthy,-0.044029906
11,Healthy,-14.25616741
11,Gingivitis,-0.420808472
11,Gingivitis,-2.392327221
11,Gingivitis,-9.848249048
11,Gingivitis,-0.873966107
11,Gingivitis,-1.825215533
11,Gingivitis,27.50238919
11,Gingivitis,-24.39917107
11,Gingivitis,-4.994166001
11,Gingivitis,-4.074962083
11,Gingivitis,18.04625349
11,Mucositis,-13.10853052
11,Mucositis,-12.30339615
11,Mucositis,-23.00718469
11,Mucositis,-4.109515085
11,Mucositis,-3.581083667
11,Mucositis,-11.91003868
11,Mucositis,14.73815419
11,Mucositis,7.870244137
11,Mucositis,5.207401141
11,Mucositis,-6.356030221
11,Mucositis,-2.915144507
11,Mucositis,-6.060386942
11,Mucositis,0.872390122
11,Mucositis,19.58905106
11,Mucositis,-3.959019146
11,Periimplantitis,-17.25384621
11,Periimplantitis,-10.82524298
11,Periimplantitis,-3.322610444
11,Periimplantitis,19.01311668
11,Periimplantitis,-14.90297256
11,Periimplantitis,-1.024831831
11,Periimplantitis,-6.452855499
11,Periimplantitis,13.51737337
11,Periimplantitis,-6.273914229
11,Periimplantitis,7.825596359
11,Periimplantitis,1.653537079
11,Periimplantitis,-10.66315754
11,Periimplantitis,-22.2525075
11,Periimplantitis,13.31895351
11.1,Healthy,9.193276166
11.1,Healthy,22.36905742
11.1,Healthy,14.39923266
11.1,Healthy,-3.940329027
11.1,Healthy,-3.781682365
11.1,Healthy,-5.475120498
11.1,Healthy,-16.88281557
11.1,Healthy,-2.403161275
11.1,Healthy,-11.48043201
11.1,Healthy,-11.9793671
11.1,Gingivitis,-4.935527578
11.1,Gingivitis,-4.857834411
11.1,Gingivitis,-10.09704485
11.1,Gingivitis,-0.873707047
11.1,Gingivitis,-3.173667181
11.1,Gingivitis,9.982566972
11.1,Gingivitis,-30.4240268
11.1,Gingivitis,-6.017329283
11.1,Gingivitis,-7.715241729
11.1,Gingivitis,15.5535097
11.1,Mucositis,-15.72513436
11.1,Mucositis,-10.02343442
11.1,Mucositis,-21.58920536
11.1,Mucositis,-3.734835841
11.1,Mucositis,-6.499720183
11.1,Mucositis,-11.25007407
11.1,Mucositis,8.335938768
11.1,Mucositis,1.359608588
11.1,Mucositis,3.516357476
11.1,Mucositis,-5.008900904
11.1,Mucositis,-3.121039838
11.1,Mucositis,-6.165805387
11.1,Mucositis,-1.505450568
11.1,Mucositis,5.251913899
11.1,Mucositis,-4.180738644
11.1,Periimplantitis,-16.6431965
11.1,Periimplantitis,-10.72854005
11.1,Periimplantitis,-2.987201533
11.1,Periimplantitis,13.51089256
11.1,Periimplantitis,-15.38555543
11.1,Periimplantitis,-3.516475917
11.1,Periimplantitis,-6.71257685
11.1,Periimplantitis,2.099352147
11.1,Periimplantitis,-6.444498067
11.1,Periimplantitis,4.54510305
11.1,Periimplantitis,1.995781562
11.1,Periimplantitis,-15.03900006
11.1,Periimplantitis,-22.20231503
11.1,Periimplantitis,4.735808002
11.2,Healthy,4.154450211
11.2,Healthy,12.89897425
11.2,Healthy,1.936020018
11.2,Healthy,-6.244467196
11.2,Healthy,-6.197098197
11.2,Healthy,-14.19255901
11.2,Healthy,-17.90574436
11.2,Healthy,-3.169861884
11.2,Healthy,-15.84611601
11.2,Healthy,-9.844347303
11.2,Gingivitis,-7.931413741
11.2,Gingivitis,-5.551566672
11.2,Gingivitis,-10.69096276
11.2,Gingivitis,-1.336055528
11.2,Gingivitis,-4.425793816
11.2,Gingivitis,-1.418053103
11.2,Gingivitis,-31.12118499
11.2,Gingivitis,-6.726025663
11.2,Gingivitis,-9.182115842
11.2,Gingivitis,14.6486672
11.2,Mucositis,-16.74163403
11.2,Mucositis,-9.227524218
11.2,Mucositis,-20.08915953
11.2,Mucositis,-3.526549346
11.2,Mucositis,-8.29819416
11.2,Mucositis,-10.21453241
11.2,Mucositis,4.043884013
11.2,Mucositis,-3.648212842
11.2,Mucositis,1.94761763
11.2,Mucositis,-4.960311337
11.2,Mucositis,-3.391307967
11.2,Mucositis,-6.221778467
11.2,Mucositis,-3.329788248
11.2,Mucositis,-5.509609741
11.2,Mucositis,-4.839171497
11.2,Periimplantitis,-15.90306683
11.2,Periimplantitis,-10.27874604
11.2,Periimplantitis,-2.751971065
11.2,Periimplantitis,7.901799862
11.2,Periimplantitis,-15.58399001
11.2,Periimplantitis,-5.036693693
11.2,Periimplantitis,-6.970956502
