MW,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis
12.2,-5.779404933,-1.215243653,-10.19579355,-6.744094419,-8.486251239,-27.65648224,-13.66856744,-0.996267046,-11.35984648,-4.676578313,-5.71835453,-1.846352964,-10.99890057,0.976367074,0.043146835,-6.343326855,-24.27742977,-2.60965471,2.861059304,30.69197533,-11.50217986,-50.08359128,-12.23204378,-1.825586944,-4.052689373,-5.112254131,2.150178296,-4.119644679,-0.145203836,-12.30463145,-1.569808985,-1.54685558,-2.068712926,-17.17708685,-6.668315428,-8.475122216,-10.01790868,-0.534852236,-1.754383101,2.910470957,-2.392548202,-3.457073336,-7.667986815,0.868485747,3.558597165,15.98319414,-10.57212336,-17.37063636,-4.681263894
12.3,-5.470123034,-0.614246339,-8.341629786,-6.033028344,-8.235350749,-26.95994238,-12.96225442,-0.504756211,-10.31101213,-4.076003241,-5.251014296,-1.244116165,-10.16688491,0.970227587,1.26466244,-3.762728697,-20.40781291,-2.465152563,4.313550288,33.24428868,-9.910703086,-64.26825755,-11.51162459,-1.820866104,-3.118597525,-4.791241101,5.132535046,-2.931871413,0.365110844,-13.30566743,-1.438421891,1.458551154,-1.87293871,-16.72846274,-6.081478952,-6.592685807,-9.448943241,-0.621585189,-1.166425543,9.818081029,-2.186026179,-2.663157429,-6.147994599,1.093824593,6.075201372,21.49237721,-8.797410649,-17.09319226,-2.385333896
12.5,-5.217688131,-0.103246062,-6.236896985,-5.323541322,-7.768580235,-25.66595813,-12.43042992,-0.337372303,-9.641032404,-3.454713721,-5.131879048,-0.870006844,-9.17632987,0.437679317,1.682012173,-1.617865904,-22.03985226,-2.955239892,3.796447651,35.55828223,-8.720035737,-50.71119545,-11.12793776,-1.525585207,-2.161759718,-4.681799881,9.70002014,-1.761294672,1.211273618,-13.36993546,-1.419220788,4.347648529,-1.568700775,-16.46927722,-5.247128752,-4.09508481,-8.727522845,-0.942653519,-0.322454226,11.33372971,-2.46734396,-0.943204419,-4.631149596,0.422412616,8.555916766,26.12856363,-7.410526261,-17.0121608,0.38576905
12.6,-4.815211607,0.199605519,-4.800826493,-4.759459579,-7.222697573,-24.07348895,-11.91239089,-0.340280808,-9.308306025,-2.868453261,-5.506345016,-0.78759045,-8.068761663,0.211477586,1.599268121,-0.764555801,-26.09825386,-3.33445688,1.946753738,39.03103034,-8.632891819,-18.08497283,-11.04947182,-1.272039393,-1.434108651,-4.541570235,11.543998,-0.522531376,3.094531057,-12.98076646,-1.57976875,5.390187522,-1.252438268,-16.48057305,-4.033974988,-2.075845491,-7.902218126,-0.910593837,0.805781735,7.54291499,-2.882042599,1.459294126,-3.321642736,-0.225326309,10.04090658,27.84964307,-6.947328855,-17.30958968,3.533862656
12.8,-4.305796749,0.260650496,-4.776687964,-4.308277599,-6.739172666,-22.63022516,-11.68266472,-0.310605808,-8.985765606,-2.293071616,-6.12163479,-0.869427341,-7.040469181,1.174191783,1.88167848,-1.180115402,-28.002134,-3.133331103,0.172472202,44.61815561,-9.356432612,7.580222587,-10.97342696,-1.108160565,-1.008389645,-3.695450594,9.780959962,0.406427497,6.022460962,-12.17822801,-1.776597516,4.098891228,-1.126622492,-16.82792567,-2.819284219,-1.424606322,-7.238167791,-0.978476826,1.807081237,0.39011006,-2.872163771,3.848761232,-2.591463567,0.056755336,10.60654023,27.04090692,-7.695139596,-17.68231442,6.690807425
12.9,-3.550437541,0.09243082,-6.113822628,-3.785039234,-6.378499971,-21.41150702,-11.55246655,-0.11992059,-8.601384686,-1.821089865,-6.48723648,-0.695155548,-6.4185982,3.588220431,3.19186897,-1.366659501,-25.93169264,-2.511658803,0.157426701,51.74854191,-10.22762708,12.5377083,-10.26378491,-0.867796466,-0.671344441,-1.766806382,6.963929337,0.379866009,8.800830479,-10.89939465,-1.960787798,1.754636986,-1.035753206,-17.26748249,-1.708624193,-1.850526514,-6.866740765,-0.795438206,2.1918994,-5.883698196,-1.98610374,5.322691944,-2.458718288,1.508986337,10.18168057,26.69888152,-9.246306362,-17.65017391,9.696479874
13.1,-2.707708609,-0.105490078,-7.870701312,-2.63528977,-6.081817774,-20.67373166,-11.16554271,0.617076346,-8.290625427,-1.588891025,-6.092604415,0.03826141,-6.345853765,7.323113867,5.959293327,0.439281275,-18.77318586,-1.482641211,3.651882257,59.57961019,-10.41178951,8.277818982,-8.466999477,-0.399045103,-0.353986089,0.977130045,7.044824978,-0.548287388,10.28544723,-9.212442317,-1.820009012,0.238567546,-0.618631182,-17.5635128,-0.586522147,-1.934653828,-6.584900164,-0.207174762,1.709043298,-9.857684371,0.025189782,6.993690229,-2.263417186,3.880981828,9.123734706,29.93097303,-10.39180363,-17.06545214,12.4508468
13.2,-2.32846108,-0.185261801,-8.753855514,-0.168401495,-5.611017911,-20.50761346,-10.188482,2.234095243,-7.839207614,-1.591748543,-4.542422932,1.428522071,-6.6460432,11.75523725,10.2008727,4.952699458,-5.342280114,0.466145838,11.77567608,66.93034586,-9.588625062,8.422654939,-5.627632543,0.695308166,-0.004954102,3.563098643,8.183814022,-1.414059499,10.22574092,-7.376077106,-1.278867354,0.647552699,0.408127767,-17.15020835,0.521512441,-0.451371042,-6.258658138,0.394670329,1.006569354,-11.44311359,2.90191094,9.826494146,-1.2928414,6.416772371,8.671042288,37.31876567,-9.260906449,-16.03318348,15.04837438
13.4,-2.198664737,0.002466491,-7.68818519,4.269681776,-4.802698495,-20.70859418,-8.424079722,4.612188216,-7.118325503,-1.580463019,-1.977338621,3.59226703,-6.889390899,15.34023028,14.87768475,11.95715222,14.02013748,3.306179576,22.87588631,71.83474484,-8.350926534,10.70617985,-1.985380463,2.60010318,0.726313451,5.100531753,8.93752014,-1.673524609,9.708332456,-5.386359491,0.151375428,2.899708288,1.949972932,-16.10731502,1.447523607,2.57318332,-5.886899179,0.508574577,1.603718562,-10.54707619,5.880730333,14.40383021,0.514641715,8.076403773,10.28118652,46.54749072,-5.373167858,-14.63484117,17.77558297
13.5,-1.560981974,0.778542223,-4.423314723,10.81475042,-3.089156309,-20.86380928,-6.037012262,7.257464148,-5.920720947,-1.355897334,0.888562078,6.354644056,-6.757283344,16.04097588,17.8234301,19.96006083,35.73048544,5.270643599,32.01254527,71.7986073,-7.402981478,12.48717139,1.352046345,5.050649869,2.051793743,5.223860419,10.54093394,-1.05678014,10.41726376,-3.31672097,2.046206762,5.854977977,3.539299853,-14.36098372,1.85336393,6.259160955,-5.03636932,0.311675003,4.625333976,-9.70555088,7.808962387,21.98905884,2.79567195,8.222114267,13.97472927,53.84139571,-0.200717265,-13.14318505,20.82747991
